time,CO2air,CO2top
341,374.8941756921531,374.8938315662169
342,374.8956992866518,374.8954755539844
343,374.8966920490173,374.89654677252014
344,374.89733892214764,374.89724478653784
345,374.89776042212105,374.89769960259366
346,374.8980350684781,374.897995952854
347,374.8982140252579,374.8981890579643
348,374.89833063321765,374.89831488327974
349,374.89840661377417,374.89839686782705
350,374.8984561230034,374.89845029243884
351,374.8984883826091,374.8984851009123
352,374.8985094037023,374.89850778509316
353,374.8985231010842,374.89852256511995
354,374.8985320251042,374.8985321932452
355,374.8985378403346,374.898538468724
356,374.898541628455,374.89854255514507
357,374.89854409719345,374.8985452195871
358,374.89854570475126,374.89854695316177
359,374.898546752662,374.8985480844426
360,374.8985474355352,374.8985488213003
361,374.89854787880347,374.8985492980702
362,374.8985481696948,374.8985496141366
363,374.89854835893004,374.89854981782423
364,374.8985484827182,374.8985499521694
365,374.898548561798,374.8985500357142
366,374.89854861312784,374.89855009097016
367,374.8985486465585,374.8985501270441
368,374.8985486677778,374.8985501494326
369,374.8985486826721,374.89855016652064
370,374.8985486930488,374.8985501783581
371,374.8985486987683,374.8985501833832
372,374.89854870236155,374.89855018725945
373,374.89854870413853,374.8985501886687
374,374.8985487063542,374.8985501922073
375,374.89854870736826,374.8985501927946
376,374.8985487096494,374.89855019691043
377,374.5789480556135,374.624312978298
378,374.37867943326563,374.4083050769451
379,374.24802261314164,374.26735178007067
380,374.1627777999493,374.1753891863375
381,374.1071613537718,374.11538909717916
382,374.07087533953927,374.07624281998636
383,374.04720111324644,374.05070248458355
384,374.0317551667339,374.03403976437073
385,374.02167773621477,374.0231685449275
386,374.0151028901765,374.0160759386286
387,374.010813281602,374.01144835909827
388,374.00801458011136,374.00842936110047
389,374.00618862469526,374.0064596886354
390,374.0049973287603,374.00517454853406
391,374.00422008858413,374.00433610374205
392,374.0037129691634,374.0037890632301
393,373.6826042182026,373.7281514250457
394,373.4811052346231,373.51089024399636
395,373.34947849820446,373.368929439844
396,373.2634900375315,373.27619471483706
397,373.2073164229965,373.2156147694966
398,373.4920776280197,373.4519542644686
399,373.66958333040077,373.64337585173797
400,373.7853875209319,373.76828637908005
401,373.86094051488027,373.8497856719206
402,373.9102335624203,373.90295690595724
403,373.9423937409106,373.93764666128675
404,373.963375845411,373.960279406971
405,374.0411765159984,374.0300800660819
406,374.0902720188948,374.08302886147675
407,374.4424915093324,374.3924689772061
408,374.85543716697583,374.7956991354643
409,375.43817320402036,375.35420078222404
410,375.80878255776344,375.7541918565864
411,376.3673593931275,376.2870355886215
412,377.1652049792728,377.0504908815723
413,377.6708596232119,377.59650003329125
414,377.99855418269857,377.95038237873473
415,378.21092531674634,378.17971344940287
416,378.3485580614151,378.32832457691563
417,378.4377532053533,378.4246334339009
418,378.4955560907893,378.4870592762311
419,378.21823995843744,378.2571609130537
420,377.73095781205325,377.8007941887684
421,377.42245575914876,377.46785950731305
422,376.9055061893647,376.97977165380246
423,376.57732512547585,376.62567734967365
424,376.363823521344,376.3952895634266
425,376.41542487843265,376.4089643701076
426,376.761205488319,376.7121746004218
427,376.97754360148537,376.9456710462432
428,377.1179928368826,377.0972951188661
429,377.20917765338,377.1957407037628
430,377.2683790190487,377.2596545136879
431,377.3068148007256,377.3011524018724
432,377.3317691157407,377.3280944207673
433,377.34797067651334,377.34558667180073
434,378.4309689225097,378.2780882201279
435,379.10347251212147,379.0045690551624
436,379.538171964849,379.4742241514803
437,379.81916258810105,379.7778313483791
438,380.00079801561117,379.97408587288413
439,380.11820921460645,380.10094587900363
440,380.1941050897427,380.18294882651287
441,380.2431648611567,380.23595687766925
442,380.2748779003597,380.27021934503887
443,380.29537719886315,380.29236852496837
444,380.30862820711627,380.3066856556923
445,380.31719381026596,380.31594016225785
446,380.3227307532583,380.32192174653653
447,380.32630981061885,380.3257885323349
448,380.32862333904916,380.32828801721416
449,380.3301188246816,380.32990364771575
450,380.6430803916221,380.59900520992693
451,380.83711782244103,380.8086501261451
452,380.9623812022669,380.94399352783347
453,381.04324622487655,381.03137421839267
454,381.0954501548787,381.0877869957515
455,381.12915169203336,381.1242054553607
456,381.1509083447322,381.14771783140293
457,381.16495395243817,381.16289695877583
458,381.1740216133042,381.1726952345302
459,381.1798754027817,381.1790209963272
460,381.18365445959137,381.1831048305917
461,381.18609416085053,381.18574094232946
462,381.18766913688006,381.18744288609963
463,381.1886859008802,381.1885416414825
464,381.1893422968134,381.18925095548957
465,381.1897660506743,381.18970887394767
466,381.1900396147847,381.1900044930752
467,381.19021621787124,381.19019533822586
468,380.87906017741756,380.9229558550675
469,380.06165394117386,380.17821448391555
470,379.5479502983693,379.6235606875492
471,379.2150448867552,379.2640515743463
472,379.8142150302945,379.73100427626923
473,380.180310620964,380.126474039023
474,380.1044611082276,380.11374555833913
475,380.0634348704001,380.06947187220084
476,380.036907026831,380.04081396668045
477,380.01975049956826,380.0222792262826
478,380.00865475284553,380.0102913841242
479,380.001478592598,380.0025387499017
480,379.99683749007204,379.9975246897684
481,379.99383590064014,379.9942818323186
482,379.99189464784695,379.99218451663626
483,379.99063914331526,379.9908281699604
484,379.98982716907176,379.98995089074987
485,379.9893020215533,379.9893835554706
486,379.98896239326166,379.9890166025713
487,379.98874273896627,379.9887792898032
488,379.9886006771862,379.98862581251046
489,379.9885088024266,379.98852654818324
490,379.98844938265825,379.98846235093237
491,379.98841093218914,379.9884208119116
492,379.6755258576542,379.71971552033347
493,379.167424599023,379.24038552004185
494,378.8460300894468,378.89337562057204
495,378.63764059445646,378.66834926933785
496,378.502520613914,378.52242995832904
497,378.41490676521175,378.42781842832915
498,378.3580975363804,378.36646842866577
499,378.0061994264924,378.0561635503475
500,377.78583405921313,377.8183056624665
501,377.64277018905636,377.66384363978096
502,377.233806070298,377.292185207374
503,376.6592426597022,376.74204640502154
504,376.29340003134706,376.34733070281476
505,376.0552741173608,376.09037583882787
506,375.90027415918166,375.9231229669506
507,375.79938243691834,375.81425699379554
508,375.73371066270005,375.7433950786049
509,375.6909642600011,375.69726861117607
510,375.66314004214075,375.66724389038444
511,375.64502871661625,375.647701309883
512,375.6332399225939,375.6349800177908
513,375.6255664155406,375.626699488712
514,375.62057160571885,375.6213095625072
515,375.6173203773384,375.61780138762293
516,375.61520411552345,375.6155178640166
517,376.3133802550065,376.2147666754495
518,376.7485697809616,376.6844756239731
519,377.03102329714807,376.98943347823734
520,377.21435827739003,377.18736679732757
521,377.33335644937915,377.3158395236354
522,377.41059504901415,377.39922827828383
523,377.4607288085801,377.45335257347097
524,377.49326940818315,377.48848223014346
525,377.51439048369195,377.5112847753563
526,377.528099739248,377.52608432922256
527,377.536997936538,377.5356908668444
528,377.54277354043796,377.54192604010444
529,377.5465223199947,377.5459731411439
530,377.54895555347116,377.5485999598166
531,377.55053487463414,377.55030502943583
532,377.2354819954401,377.2800085797439
533,377.0388527488468,377.0678288445055
534,376.59414510102016,376.657811437604
535,376.31290229973536,376.3543730610187
536,376.1298907806491,376.1568833156996
537,375.692682523053,375.7552827489462
538,375.09708844299263,375.18311413609763
539,374.39689828208697,374.49842788418266
540,373.94772814605915,374.01408689762803
541,373.65430618160286,373.6976564674211
542,373.46262256578933,373.4909497942668
543,373.3374030540807,373.3559102847124
544,373.2556015724492,373.26769096944014
545,373.2021631130226,373.2100610252679
546,373.1672535956498,373.1724124204129
547,373.1444481938054,373.147818585721
548,373.1295501772529,373.13175224443734
549,373.1198177956296,373.12125663615427
550,373.11345994225394,373.114400274972
551,373.1093065734865,373.10992121906156
552,373.10659332299855,373.10699515413125
553,373.104820847405,373.10508362994784
554,373.10366294112697,373.10383492625334
555,373.10290651953284,373.1030191837865
556,373.1024123721924,373.1024862856525
557,373.1020895643974,373.1021381475378
558,372.7799086063317,372.8256255687642
559,372.57747051002434,372.6074075716924
560,372.4450597274686,372.4646420961434
561,372.3584482734204,372.37125981212637
562,371.97876669707557,372.0330170655324
563,371.7384265929585,371.77399447989524
564,371.5810216357854,371.60431711126813
565,371.153810435315,371.2151229956197
566,370.5571080940565,370.6435439432619
567,369.84783600516204,369.9510067700831
568,369.16114729441557,369.26157610348696
569,368.7151584431624,368.7812781432313
570,368.42166671991174,368.46518275424387
571,368.2285261054792,368.2571631887399
572,368.1014241242889,368.12026795638724
573,368.0177805839293,368.03018023577977
574,367.9627360519261,367.97089749039594
575,368.4189447207251,368.3542977596047
576,369.03324030573884,368.9442351299511
577,369.42773211541396,369.36930361278695
578,369.6864976002086,369.64817048996014
579,369.8562389003557,369.8310999297745
580,370.2932829714952,370.2305388722365
581,370.8960965615927,370.8088442580498
582,371.2821083690591,371.2249876766071
583,371.5346622201649,371.49728945055836
584,371.69990370524613,371.6754472337323
585,371.80801711544467,371.7920173484368
586,371.87875398783024,371.86828490575186
587,371.9250356081345,371.9181860850565
588,371.9553167924471,371.95083547891653
589,371.65166397317495,371.6946873687867
590,371.4610854609405,371.4893070739001
591,371.3362392447638,371.35472971835276
592,371.25444964440686,371.2665644224092
593,371.2008674644728,371.2088042859142
594,371.1657644103087,371.1709646161606
595,371.1427676439795,371.1461742542415
596,371.1277018404093,371.1299337240623
597,371.11783181712275,371.11929450268434
598,371.4355551563704,371.39045204345933
599,371.9585660636199,371.8830897546573
600,372.6145959553963,372.51946856321325
601,373.35603811398096,373.2483178994877
602,373.83096710505805,373.76072637856265
603,374.1405019299225,374.09472213345475
604,374.3422453841308,374.3124056376529
605,374.473733768648,374.4542858260668
606,374.5594330004457,374.54675804993764
607,374.93485112336145,374.8812683184841
608,375.1709741462931,375.1360602462532
609,375.3246658460898,375.3019421487464
610,375.4247081430866,375.4099160064075
611,375.4898279797331,375.4802000228158
612,375.53221613932186,375.52594967988443
613,375.55980767174015,375.5557292966082
614,375.57776772858966,375.5751133937317
615,375.58945833400975,375.5877313389417
616,375.5970680860091,375.5959444630925
617,375.28334913525134,375.3278476374657
618,375.0871044381479,375.1161430205166
619,374.95920565436444,374.9781324810621
620,374.8758459429472,374.888181152691
621,374.8215149007777,374.8295550372999
622,374.7861038429905,374.79134507914404
623,374.76302423707494,374.76644108839497
624,374.74798184705594,374.7502091216261
625,374.7381777211595,374.73962987284096
626,374.09172540078794,374.18361646259285
627,373.36464214038966,373.4704248817794
628,372.8972224142688,372.96646788651657
629,372.5914030691338,372.6367095161442
630,372.3913102721515,372.42095376569625
631,372.2603927590071,372.27978821932976
632,372.8198854467731,372.7409588045997
633,373.16835778996006,373.1167883705669
634,373.39576065733314,373.3621036377987
635,373.5441637961483,373.52219951521386
636,373.64101206647734,373.626678500167
637,373.70421549642043,373.6948617530141
638,373.74546221846657,373.73935832208144
639,373.7723799355581,373.7683968968782
640,373.7899465323661,373.7873473364258
641,373.80141048672823,373.7997147779031
642,373.80889193087353,373.80778558691406
643,373.8137743249946,373.813052701747
644,373.8169605895947,373.8164900362764
